team,win_prob,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,0.33741299818355397,3.0,2.5,2
Argentina,0.16164062947019953,5.9,5.5,2
England,0.13651574851582352,7.0,6.5,2
Spain,0.12963378176965548,7.2,7.0,2
Portugal,0.06390397692870341,18.0,12.0,2
Norway,0.047979242571069294,22.0,17.0,2
Colombia,0.03412893712895588,28.0,26.0,2
Morocco,0.028646610347349798,36.0,29.0,2
USA,0.027065213758039088,34.0,34.0,2
Belgium,0.017795142286208973,70.0,41.0,2
Switzerland,0.011710541820838907,95.0,67.0,2
Egypt,0.0035671772196022495,360.0,201.0,2
Panama,0.0,,,0
Saudi Arabia,0.0,,,0
Paraguay,0.0,,,0
Qatar,0.0,,,0
New Zealand,0.0,,,0
Algeria,0.0,,,0
Senegal,0.0,,,0
Scotland,0.0,,,0
South Africa,0.0,,,0
South Korea,0.0,,,0
Sweden,0.0,,,0
Tunisia,0.0,,,0
Türkiye,0.0,,,0
Uruguay,0.0,,,0
Netherlands,0.0,,,0
Japan,0.0,,,0
Mexico,0.0,,,0
Jordan,0.0,,,0
Australia,0.0,,,0
Austria,0.0,,,0
Bosnia & Herzegovina,0.0,,,0
Brazil,0.0,,,0
Canada,0.0,,,0
Cape Verde,0.0,,,0
Croatia,0.0,,,0
Curaçao,0.0,,,0
Czechia,0.0,,,0
DR Congo,0.0,,,0
Ecuador,0.0,,,0
Germany,0.0,,,0
Ghana,0.0,,,0
Haiti,0.0,,,0
Iran,0.0,,,0
Iraq,0.0,,,0
Ivory Coast,0.0,,,0
Uzbekistan,0.0,,,0
