team,win_prob,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,0.37283207884538583,2.62,2.5,2
Spain,0.21614485630113264,4.5,4.33,2
Argentina,0.17189247851850253,5.6,5.5,2
England,0.16124598491656827,6.4,5.5,2
Norway,0.05757930665867735,18.5,15.0,2
Switzerland,0.020305294759733458,55.0,41.0,2
Qatar,0.0,,,0
Morocco,0.0,,,0
Netherlands,0.0,,,0
New Zealand,0.0,,,0
Panama,0.0,,,0
Paraguay,0.0,,,0
Portugal,0.0,,,0
Algeria,0.0,,,0
Saudi Arabia,0.0,,,0
Mexico,0.0,,,0
Senegal,0.0,,,0
South Africa,0.0,,,0
South Korea,0.0,,,0
Sweden,0.0,,,0
Tunisia,0.0,,,0
Türkiye,0.0,,,0
USA,0.0,,,0
Uruguay,0.0,,,0
Scotland,0.0,,,0
Japan,0.0,,,0
Jordan,0.0,,,0
Ivory Coast,0.0,,,0
Australia,0.0,,,0
Austria,0.0,,,0
Belgium,0.0,,,0
Bosnia & Herzegovina,0.0,,,0
Brazil,0.0,,,0
Canada,0.0,,,0
Cape Verde,0.0,,,0
Colombia,0.0,,,0
Croatia,0.0,,,0
Curaçao,0.0,,,0
Czechia,0.0,,,0
DR Congo,0.0,,,0
Ecuador,0.0,,,0
Egypt,0.0,,,0
Germany,0.0,,,0
Ghana,0.0,,,0
Haiti,0.0,,,0
Iran,0.0,,,0
Iraq,0.0,,,0
Uzbekistan,0.0,,,0
